iter	Passed	Remaining
1211	2191	1424
1212	2193	1423
1213	2196	1421
1214	2197	1419
1215	2199	1417
1216	2200	1416
1217	2203	1414
1218	2204	1412
1219	2206	1410
1220	2208	1408
1221	2209	1406
1222	2211	1405
1223	2213	1403
1224	2215	1401
1225	2217	1399
1226	2219	1398
1227	2220	1396
1228	2222	1394
1229	2224	1392
1230	2226	1390
1231	2228	1388
1232	2229	1387
1233	2231	1385
1234	2233	1383
1235	2235	1381
1236	2237	1379
1237	2238	1378
1238	2240	1376
1239	2242	1374
1240	2244	1372
1241	2246	1371
1242	2248	1369
1243	2250	1367
1244	2252	1365
1245	2254	1364
1246	2255	1362
1247	2257	1360
1248	2259	1358
1249	2261	1356
1250	2263	1355
1251	2264	1353
1252	2266	1351
1253	2268	1349
1254	2269	1347
1255	2271	1345
1256	2273	1343
1257	2275	1341
1258	2276	1339
1259	2278	1338
1260	2280	1336
1261	2282	1334
1262	2284	1332
1263	2285	1331
1264	2287	1329
1265	2289	1327
1266	2291	1325
1267	2293	1323
1268	2294	1321
1269	2296	1319
1270	2298	1318
1271	2299	1316
1272	2301	1314
1273	2303	1312
1274	2304	1310
1275	2306	1308
1276	2308	1306
1277	2311	1305
1278	2314	1304
1279	2315	1302
1280	2317	1301
1281	2319	1299
1282	2321	1297
1283	2322	1295
1284	2324	1293
1285	2326	1291
1286	2327	1289
1287	2329	1287
1288	2331	1285
1289	2333	1284
1290	2334	1282
1291	2336	1280
1292	2338	1278
1293	2339	1276
1294	2341	1274
1295	2343	1273
1296	2345	1271
1297	2347	1269
1298	2348	1267
1299	2350	1265
1300	2352	1263
1301	2354	1262
1302	2356	1260
1303	2357	1258
1304	2359	1256
1305	2361	1254
1306	2363	1253
1307	2365	1251
1308	2367	1249
1309	2369	1248
1310	2371	1246
1311	2372	1244
1312	2374	1242
1313	2376	1240
1314	2378	1238
1315	2380	1237
1316	2381	1235
1317	2383	1233
1318	2385	1231
1319	2387	1229
1320	2389	1228
1321	2391	1226
1322	2392	1224
1323	2394	1222
1324	2396	1220
1325	2397	1218
1326	2399	1217
1327	2402	1215
1328	2404	1214
1329	2406	1212
1330	2408	1210
1331	2410	1208
1332	2411	1206
1333	2413	1204
1334	2414	1202
1335	2417	1201
1336	2417	1199
1337	2419	1197
1338	2421	1195
1339	2423	1193
1340	2425	1191
1341	2426	1189
1342	2428	1187
1343	2430	1186
1344	2431	1184
1345	2433	1182
1346	2436	1181
1347	2437	1179
1348	2439	1177
1349	2441	1175
1350	2443	1173
1351	2444	1171
1352	2446	1169
1353	2448	1168
1354	2450	1166
1355	2452	1164
1356	2453	1162
1357	2455	1160
1358	2457	1159
1359	2459	1157
1360	2461	1155
1361	2463	1153
1362	2465	1152
1363	2466	1150
1364	2468	1148
1365	2470	1146
1366	2472	1144
1367	2474	1143
1368	2475	1141
1369	2477	1139
1370	2479	1137
1371	2481	1135
1372	2483	1134
1373	2485	1132
1374	2486	1130
1375	2488	1128
1376	2490	1126
1377	2492	1125
1378	2493	1122
1379	2495	1121
1380	2497	1119
1381	2499	1117
1382	2501	1115
1383	2503	1114
1384	2505	1112
1385	2507	1110
1386	2509	1109
1387	2511	1107
1388	2512	1105
1389	2514	1103
1390	2516	1101
1391	2518	1100
1392	2520	1098
1393	2522	1096
1394	2523	1094
1395	2525	1092
1396	2527	1090
1397	2528	1088
